Date,annual_sheep
1867-01-01,2203
1868-01-01,2360
1869-01-01,2254
1870-01-01,2165
1871-01-01,2024
1872-01-01,2078
1873-01-01,2214
1874-01-01,2292
1875-01-01,2207
1876-01-01,2119
1877-01-01,2119
1878-01-01,2137
1879-01-01,2132
1880-01-01,1955
1881-01-01,1785
1882-01-01,1747
1883-01-01,1818
1884-01-01,1909
1885-01-01,1958
1886-01-01,1892
1887-01-01,1919
1888-01-01,1853
1889-01-01,1868
1890-01-01,1991
1891-01-01,2111
1892-01-01,2119
1893-01-01,1991
1894-01-01,1859
1895-01-01,1856
1896-01-01,1924
1897-01-01,1892
1898-01-01,1916
1899-01-01,1968
1900-01-01,1928
1901-01-01,1898
1902-01-01,1850
1903-01-01,1841
1904-01-01,1824
1905-01-01,1823
1906-01-01,1843
1907-01-01,1880
1908-01-01,1968
1909-01-01,2029
1910-01-01,1996
1911-01-01,1933
1912-01-01,1805
1913-01-01,1713
1914-01-01,1726
1915-01-01,1752
1916-01-01,1795
1917-01-01,1717
1918-01-01,1648
1919-01-01,1512
1920-01-01,1338
1921-01-01,1383
1922-01-01,1344
1923-01-01,1384
1924-01-01,1484
1925-01-01,1597
1926-01-01,1686
1927-01-01,1707
1928-01-01,1640
1929-01-01,1611
1930-01-01,1632
1931-01-01,1775
1932-01-01,1850
1933-01-01,1809
1934-01-01,1653
1935-01-01,1648
1936-01-01,1665
1937-01-01,1627
1938-01-01,1791
1939-01-01,1797
