date,peyton_manning_wikipedia_pageviews
2007-12-10,9.590761139
2007-12-11,8.519590316
2007-12-12,8.183676583
2007-12-13,8.072467369
2007-12-14,7.893572074
2007-12-15,7.783640596
2007-12-16,8.414052432
2007-12-17,8.829226355
2007-12-18,8.382518288
2007-12-19,8.069655307
2007-12-20,7.879291485
2007-12-21,7.761744985
2007-12-22,7.529406458
2007-12-23,8.38526052
2007-12-24,8.620110725
2007-12-25,7.852439085
2007-12-26,7.853993087
2007-12-27,8.051978079
2007-12-28,7.926602599
2007-12-29,7.838343316
2007-12-30,9.703144581
2007-12-31,9.385972941
2008-01-01,8.293799609
2008-01-02,8.43468077
2008-01-03,8.262042844
2008-01-04,8.106816039
2008-01-05,7.950149888
2008-01-06,9.509259076
2008-01-07,8.846784667
2008-01-08,8.430545385
2008-01-09,8.248267447
2008-01-10,8.28172399
2008-01-11,8.292798858
2008-01-12,8.199189359
2008-01-13,9.996522419
2008-01-14,10.12707101
2008-01-15,8.933796044
2008-01-16,8.566173814
2008-01-17,8.547722396
2008-01-18,8.399760095
2008-01-19,8.223090551
2008-01-20,8.838986793
2008-01-21,10.89720218
2008-01-22,9.444938073
2008-01-23,8.923324744
2008-01-24,8.543445563
2008-01-25,8.495560891
2008-01-26,8.417372856
2008-01-27,8.572627898
2008-01-28,8.736489351
2008-01-29,8.634086943
2008-01-30,8.673512946
2008-02-01,8.824236617
2008-02-02,8.537975731
2008-02-03,9.698061122
2008-02-04,12.09745684
2008-02-05,10.63527836
2008-02-06,9.691716588
2008-02-07,9.315600883
2008-02-08,8.970813341
2008-02-09,8.589141691
2008-02-10,8.617400452
2008-02-11,8.616314282
2008-02-12,8.215547412
2008-02-13,8.064950892
2008-02-14,8.11342664
2008-02-15,7.799343398
2008-02-16,7.62754439
2008-02-17,7.555905094
2008-02-18,7.71154898
2008-02-19,7.788626066
2008-02-20,7.708410667
2008-02-21,7.768533301
2008-02-22,7.695303135
2008-02-23,7.378383713
2008-02-24,7.910590612
2008-02-25,7.626570206
2008-02-26,7.573531263
2008-02-27,7.567862605
2008-02-29,7.552237288
2008-03-02,7.336936914
2008-03-05,8.12474302
2008-03-06,7.887584032
2008-03-07,7.819636302
2008-03-08,7.383989458
2008-03-09,7.814399634
2008-03-10,7.542213463
2008-03-11,7.548555979
2008-03-12,7.688913337
2008-03-13,7.477038472
2008-03-14,7.358830898
2008-03-15,7.032624261
2008-03-16,7.118016204
2008-03-17,7.349873705
2008-03-18,7.326465614
2008-03-19,7.363913501
2008-03-20,7.277938573
2008-03-21,7.251344983
2008-03-22,7.002155954
2008-03-23,7.163946684
2008-03-24,7.759187439
2008-03-25,7.518607217
2008-03-26,7.41397029
2008-03-27,7.442492723
2008-03-28,7.228388452
2008-03-29,6.991176887
2008-03-30,7.211556733
2008-03-31,7.311218384
2008-04-01,7.349230825
2008-04-02,7.514254653
2008-04-03,7.393263095
2008-04-04,7.286191715
2008-04-05,7.273092596
2008-04-06,7.168579897
2008-04-07,7.611347717
2008-04-08,7.617759577
2008-04-09,7.425953657
2008-04-10,8.182000136
2008-04-11,7.399398083
2008-04-12,7.106606138
2008-04-13,7.080867897
2008-04-14,7.421177529
2008-04-15,7.491645474
2008-04-16,7.385851078
2008-04-17,7.68294317
2008-04-18,7.688913337
2008-04-19,7.259116128
2008-04-20,8.144969417
2008-04-21,8.713910628
2008-04-22,8.091015042
2008-04-23,7.840312983
2008-04-24,7.648739789
2008-04-25,8.020927719
2008-04-26,7.830028083
2008-04-27,7.72753511
2008-04-28,7.835974582
2008-04-29,7.626570206
2008-04-30,7.644440762
2008-05-01,7.548555979
2008-05-02,7.440733707
2008-05-03,7.073269717
2008-05-04,7.026426809
2008-05-05,7.392031568
2008-05-06,7.29301768
2008-05-07,7.361375429
2008-05-08,7.512617545
2008-05-09,7.460490306
2008-05-10,7.114769448
2008-05-11,7.125283092
2008-05-12,7.455876687
2008-05-13,7.317212408
2008-05-14,7.410347098
2008-05-15,7.402451521
2008-05-16,7.294377299
2008-05-17,6.989335266
2008-05-18,6.993015123
2008-05-19,7.431299675
2008-05-20,7.362010551
2008-05-21,7.454719949
2008-05-22,7.368339686
2008-05-23,7.143617603
2008-05-24,6.835184586
2008-05-25,6.89060912
2008-05-26,6.974478911
2008-05-27,7.26612878
2008-05-28,7.270312886
2008-05-29,7.265429723
2008-05-30,7.157735484
2008-05-31,6.865891075
2008-06-03,7.153833802
2008-06-04,7.216709487
2008-06-05,7.201916318
2008-06-06,7.212294469
2008-06-07,7.186144305
2008-06-08,6.820016365
2008-06-09,6.882437471
2008-06-10,7.183111702
2008-06-11,7.242797923
2008-06-12,7.192934221
2008-06-13,7.183870715
2008-06-14,6.970730078
2008-06-15,6.91770561
2008-06-16,7.222566019
2008-06-17,7.356918242
2008-06-18,7.242797923
2008-06-19,7.22329568
2008-06-20,7.163172391
2008-06-21,7.241366283
2008-06-22,6.986566459
2008-06-23,6.963189986
2008-06-24,7.250635512
2008-06-25,7.160845907
2008-06-26,7.132497552
2008-06-27,7.091742115
2008-06-28,7.012115294
2008-06-29,6.857514063
2008-06-30,6.827629235
2008-07-02,7.13009851
2008-07-03,7.277247727
2008-07-04,7.038783541
2008-07-05,6.89060912
2008-07-06,6.957497371
2008-07-07,7.295735073
2008-07-08,7.497207223
2008-07-09,7.310550159
2008-07-10,7.20489251
2008-07-11,7.222566019
2008-07-12,7.257707677
2008-08-01,7.425953657
2008-08-02,7.117205503
2008-08-03,7.249925537
2008-08-04,8.276903481
2008-08-05,7.60638739
2008-08-06,7.643961949
2008-08-07,8.012349639
2008-08-08,7.930206207
2008-08-09,7.508787171
2008-08-10,7.52131798
2008-08-11,7.589841512
2008-08-12,7.500529485
2008-08-13,7.370230642
2008-08-14,7.385230923
2008-08-15,7.302496424
2008-08-16,7.275172319
2008-08-17,7.392031568
2008-08-18,7.516977225
2008-08-19,7.909122183
2008-08-20,7.723120092
2008-08-21,7.670428522
2008-08-22,7.62900389
2008-08-23,7.430707083
2008-08-24,7.579678823
2008-08-25,7.948385285
2008-08-26,7.795646536
2008-08-27,8.007367068
2008-08-28,7.790696031
2008-08-29,7.832807517
2008-08-30,7.51479976
2008-08-31,7.62754439
2008-09-01,7.855157006
2008-09-02,7.964850887
2008-09-03,7.74586823
2008-09-04,8.08085642
2008-09-05,8.25997566
2008-09-06,7.769800996
2008-09-07,8.177515824
2008-09-08,9.281730368
2008-09-09,8.33854488
2008-09-10,7.830425618
2008-09-11,7.808729307
2008-09-12,7.816819966
2008-09-13,7.554858521
2008-09-14,8.555066844
2008-09-15,8.207946941
2008-09-16,8.083637203
2008-09-17,7.791109511
2008-09-18,7.670894831
2008-09-19,7.640123173
2008-09-20,7.550135342
2008-09-21,8.249313746
2008-09-22,8.303999971
2008-09-23,8.126813721
2008-09-24,7.70616297
2008-09-25,7.663877259
2008-09-26,7.526717561
2008-09-27,7.925880317
2008-09-28,7.921535632
2008-09-29,8.033982735
2008-09-30,7.725771442
2008-10-01,7.694392803
2008-10-02,7.449498005
2008-10-03,7.391415235
2008-10-04,7.34601021
2008-10-05,8.101374671
2008-10-06,8.156510226
2008-10-07,7.971085754
2008-10-08,7.872836175
2008-10-09,7.635303886
2008-10-10,7.58781722
2008-10-11,7.342131731
