Date,Mean daily temperature (Celsius) of Saugeen River 
88-01-01,-6.5
88-01-02,-5.75
88-01-03,-3.5
88-01-04,-8
88-01-05,-12.5
88-01-06,-13.25
88-01-07,-13.25
88-01-08,-15
88-01-09,-9
88-01-10,-11
88-01-11,-6.25
88-01-12,-0.75
88-01-13,-14.25
88-01-14,-14.5
88-01-15,-8
88-01-16,0.75
88-01-17,2.5
88-01-18,0.75
88-01-19,-2.25
88-01-20,3
88-01-21,-11.25
88-01-22,-12.75
88-01-23,-3
88-01-24,-1.5
88-01-25,-5
88-01-26,-13.25
88-01-27,-11.75
88-01-28,-9.75
88-01-29,-3.5
88-01-30,5.25
88-01-31,8.25
88-02-01,-2.5
88-02-02,-10.75
88-02-03,-11.75
88-02-04,-11.25
88-02-05,-12.5
88-02-06,-13.25
88-02-07,-11
88-02-08,-11.75
88-02-09,-11.25
88-02-10,-14.5
88-02-11,-10
88-02-12,-6.5
88-02-13,-8.75
88-02-14,-6.5
88-02-15,-1.75
88-02-16,-11
88-02-17,-2.25
88-02-18,-3.75
88-02-19,-3.5
88-02-20,-6.25
88-02-21,-10
88-02-22,-2
88-02-23,-6
88-02-24,-7
88-02-25,-7.5
88-02-26,-8
88-02-27,-6.75
88-02-28,-10.25
88-02-29,-7.5
88-03-01,-11
88-03-02,-3.5
88-03-03,-11.5
88-03-04,-13
88-03-05,-8
88-03-06,-0.5
88-03-07,0
88-03-08,0.25
88-03-09,2.25
88-03-10,-1.25
88-03-11,-2
88-03-12,-1
88-03-13,-2
88-03-14,-9.75
88-03-15,-8.75
88-03-16,-2.25
88-03-17,-7.5
88-03-18,-2.75
88-03-19,-7.25
88-03-20,-10.75
88-03-21,-15.5
88-03-22,-9.75
88-03-23,4.5
88-03-24,2.25
88-03-25,6.75
88-03-26,7.25
88-03-27,-1.75
88-03-28,1
88-03-29,9.5
88-03-30,3.25
88-03-31,2.25
88-04-01,4.5
88-04-02,5.75
88-04-03,13
88-04-04,6.5
88-04-05,12.5
88-04-06,11.5
88-04-07,3.75
88-04-08,3
88-04-09,2.25
88-04-10,4.25
88-04-11,4.5
88-04-12,6.25
88-04-13,7.75
88-04-14,3
88-04-15,0.5
88-04-16,3
88-04-17,8
88-04-18,-0.5
88-04-19,0
88-04-20,1.75
88-04-21,2.25
88-04-22,1.5
88-04-23,4
88-04-24,4.25
88-04-25,4.25
88-04-26,5
88-04-27,4.5
88-04-28,4.5
88-04-29,7.25
88-04-30,7.75
88-05-01,8.5
88-05-02,8.5
88-05-03,10
88-05-04,8.75
88-05-05,10.5
88-05-06,9.5
88-05-07,9.5
88-05-08,16.5
88-05-09,16
88-05-10,11
88-05-11,6.75
88-05-12,12.25
88-05-13,7.25
88-05-14,6.25
88-05-15,13.75
88-05-16,15.5
88-05-17,10.5
88-05-18,11.5
88-05-19,13.5
88-05-20,15.5
88-05-21,15.75
88-05-22,16
88-05-23,15.5
88-05-24,9
88-05-25,7
88-05-26,10.5
88-05-27,20
88-05-28,17.5
88-05-29,19
88-05-30,19.75
88-05-31,19.25
88-06-01,15.25
88-06-02,8.5
88-06-03,10.5
88-06-04,10.25
88-06-05,15
88-06-06,16.25
88-06-07,13.25
88-06-08,8
88-06-09,7
88-06-10,9
88-06-11,14.5
88-06-12,19.75
88-06-13,19.75
88-06-14,25.5
88-06-15,24
88-06-16,12.75
88-06-17,11
88-06-18,14
88-06-19,24.25
88-06-20,24.25
88-06-21,18.5
88-06-22,21.5
88-06-23,13.75
88-06-24,15.25
88-06-25,22
88-06-26,15
88-06-27,11.75
88-06-28,13.5
88-06-29,8.5
88-06-30,12
88-07-01,13.5
88-07-02,13.75
88-07-03,14.5
88-07-04,17.5
88-07-05,22
88-07-06,23
88-07-07,24.5
88-07-08,24.25
88-07-09,23.5
88-07-10,23.75
88-07-11,21.75
88-07-12,19.5
88-07-13,19
88-07-14,22.75
88-07-15,18.5
88-07-16,23.5
88-07-17,19.25
88-07-18,21.5
88-07-19,21.25
88-07-20,17.75
88-07-21,18.75
88-07-22,21.25
88-07-23,17.25
88-07-24,20.5
88-07-25,19
88-07-26,20.5
88-07-27,19.25
88-07-28,21.75
88-07-29,25
88-07-30,22.25
88-07-31,18.75
88-08-01,21.25
88-08-02,26
88-08-03,27.75
88-08-04,27.5
88-08-05,26.25
88-08-06,22.25
88-08-07,20.75
88-08-08,20.25
88-08-09,24.5
88-08-10,21
88-08-11,22
88-08-12,23.75
88-08-13,26.25
88-08-14,26.5
88-08-15,21.25
88-08-16,19.25
88-08-17,21.25
88-08-18,16.5
88-08-19,13
88-08-20,13.75
88-08-21,14.5
88-08-22,13.25
88-08-23,14.75
88-08-24,18.25
88-08-25,16.5
88-08-26,16.5
88-08-27,15.5
88-08-28,16.75
88-08-29,14.5
88-08-30,12.5
88-08-31,13.5
88-09-01,20
88-09-02,21
88-09-03,19
88-09-04,16.5
88-09-05,11
88-09-06,9.5
88-09-07,10.5
88-09-08,15.75
88-09-09,18
88-09-10,13.75
88-09-11,11.5
88-09-12,16
88-09-13,12
88-09-14,12
88-09-15,9.5
88-09-16,12
88-09-17,17.75
88-09-18,21.5
88-09-19,20
88-09-20,14.5
88-09-21,12.5
88-09-22,14.75
88-09-23,13
88-09-24,10.25
88-09-25,11
88-09-26,11
88-09-27,15.25
88-09-28,9.25
88-09-29,10.25
88-09-30,15.75
88-10-01,20.75
88-10-02,12.75
88-10-03,8
88-10-04,5.75
88-10-05,4
88-10-06,5.5
88-10-07,6
88-10-08,5
88-10-09,5
88-10-10,7.75
88-10-11,4.5
88-10-12,2
88-10-13,4
88-10-14,7
88-10-15,12
88-10-16,14.25
88-10-17,14.75
88-10-18,7.5
88-10-19,4.25
88-10-20,2.5
88-10-21,4.5
88-10-22,6.25
88-10-23,6
88-10-24,4.75
88-10-25,5
88-10-26,2.75
88-10-27,5.25
88-10-28,3.25
88-10-29,2
88-10-30,0.25
88-10-31,2
88-11-01,4
88-11-02,3
88-11-03,3.5
88-11-04,10.25
88-11-05,12
88-11-06,3
88-11-07,2.75
88-11-08,3
88-11-09,6
88-11-10,8.25
88-11-11,1.5
88-11-12,3.5
88-11-13,5.5
88-11-14,4
88-11-15,4.25
88-11-16,10.75
88-11-17,2.25
88-11-18,0.75
88-11-19,-0.75
88-11-20,4
88-11-21,1.5
88-11-22,1.5
88-11-23,2.75
88-11-24,3
88-11-25,5.75
88-11-26,6.75
88-11-27,8.25
88-11-28,1.5
88-11-29,1.5
88-11-30,1.5
88-12-01,-1.5
88-12-02,0.5
88-12-03,2.5
88-12-04,-1
88-12-05,1
88-12-06,5
88-12-07,1.75
88-12-08,-3
88-12-09,-5.75
88-12-10,-9.5
88-12-11,-18.5
88-12-12,-18
88-12-13,-4.25
88-12-14,-0.5
88-12-15,-8.75
88-12-16,-9.75
88-12-17,-11
88-12-18,-11.75
88-12-19,-1
88-12-20,6
88-12-21,-1.75
88-12-22,-3.75
88-12-23,0.5
88-12-24,1.25
88-12-25,-3.75
88-12-26,-4
88-12-27,-1
88-12-28,-3
88-12-29,-6.25
88-12-30,-4.5
89-01-01,-7.25
89-01-02,-7.5
89-01-03,-1.75
89-01-04,-8.75
89-01-05,-16.25
89-01-06,-10.25
89-01-07,-4.75
89-01-08,1.5
89-01-09,-4
89-01-10,-6.25
89-01-11,-4.25
89-01-12,-6
89-01-13,-1
89-01-14,-4
89-01-15,-3.25
89-01-16,-2.5
89-01-17,-3.25
89-01-18,-2.75
89-01-19,-1.5
89-01-20,1.25
89-01-21,-8.5
89-01-22,-12
89-01-23,-2
89-01-24,1
89-01-25,-0.75
89-01-26,-1
89-01-27,-1.75
89-01-28,-0.5
89-01-29,1.75
89-01-30,0
89-01-31,2.25
89-02-01,4
89-02-02,-4.25
89-02-03,-8.75
89-02-04,-10.25
89-02-05,-11
89-02-06,-9.75
89-02-07,-6.25
89-02-08,-7.75
89-02-09,-8.75
89-02-10,-12.5
89-02-11,-7.25
89-02-12,-4.5
89-02-13,-7.5
89-02-14,-5.5
89-02-15,-1
89-02-16,-2
89-02-17,-10.75
89-02-18,-11.75
89-02-19,-9.25
89-02-20,-5.5
89-02-21,-2.75
89-02-22,-2.25
89-02-23,-6.5
89-02-24,-17.25
89-02-25,-21.75
89-02-26,-15.25
89-02-27,-4.25
89-02-28,-7.25
89-03-01,-11.25
89-03-02,-7.25
89-03-03,-10.25
89-03-04,-9
89-03-05,-2.75
89-03-06,-8.75
89-03-07,-11
89-03-08,-16.5
89-03-09,-13.25
89-03-10,-4.25
89-03-11,-5
89-03-12,3.75
89-03-13,-9.25
89-03-14,-6.75
89-03-15,3.75
89-03-16,-1.3
89-03-17,-5.5
89-03-18,-5.75
89-03-19,-6
89-03-20,-8.75
89-03-21,-3.25
89-03-22,-6.25
89-03-23,-8.5
89-03-24,-2.5
89-03-25,0.5
89-03-26,3.75
89-03-27,4
89-03-28,12.75
89-03-29,15.25
89-03-30,-1.25
89-03-31,4.25
89-04-01,1
89-04-02,1.25
89-04-03,3.5
89-04-04,7.25
89-04-05,8.25
89-04-06,5.25
89-04-07,2.75
89-04-08,2
89-04-09,0.25
89-04-10,-2
89-04-11,-3
89-04-12,-1.5
89-04-13,0
89-04-14,1.75
89-04-15,2.25
89-04-16,4
89-04-17,5.5
89-04-18,6
89-04-19,0.25
89-04-20,1.5
89-04-21,3.25
89-04-22,3
89-04-23,-0.5
89-04-24,0.25
89-04-25,2.5
89-04-26,10.5
89-04-27,11.5
89-04-28,7.5
89-04-29,4
89-04-30,9
89-05-01,9.25
89-05-02,3.75
89-05-03,6.5
89-05-04,7.25
89-05-05,8.5
89-05-06,13.25
89-05-07,3.75
89-05-08,2.25
89-05-09,6.25
89-05-10,6.75
89-05-11,7
89-05-12,6.25
89-05-13,9.25
89-05-14,10.25
89-05-15,10.75
89-05-16,10.25
89-05-17,11.5
89-05-18,14.25
89-05-19,16.25
89-05-20,19
89-05-21,17.75
89-05-22,14
89-05-23,13
89-05-24,14.25
89-05-25,14.5
89-05-26,19.25
89-05-27,18.75
89-05-28,8.75
89-05-29,9
89-05-30,14
89-05-31,17.25
89-06-01,19.25
89-06-02,15.25
89-06-03,16.75
89-06-04,17
89-06-05,14.25
89-06-06,11
89-06-07,15.25
