Month,Sales of shampoo over a three year period
2012-01-01,266
2012-02-01,145.9
2012-03-01,183.1
2012-04-01,119.3
2012-05-01,180.3
2012-06-01,168.5
2012-07-01,231.8
2012-08-01,224.5
2012-09-01,192.8
2012-10-01,122.9
2012-11-01,336.5
2012-12-01,185.9
2013-01-01,194.3
2013-02-01,149.5
2013-03-01,210.1
2013-04-01,273.3
2013-05-01,191.4
2013-06-01,287
2013-07-01,226
2013-08-01,303.6
2013-09-01,289.9
2013-10-01,421.6
2013-11-01,264.5
2013-12-01,342.3
2014-01-01,339.7
2014-02-01,440.4
2014-03-01,315.9
2014-04-01,439.3
2014-05-01,401.3
2014-06-01,437.4
2014-07-01,575.5
2014-08-01,407.6
2014-09-01,682
2014-10-01,475.3
2014-11-01,581.3
2014-12-01,646.9
